iter	MultiClass	Accuracy
0	-1.78205597	0.6274068546
1	-1.772591763	0.6301918187
2	-1.763288695	0.6295887231
3	-1.754096739	0.6296920951
4	-1.745116915	0.6297589829
5	-1.736320619	0.6298656716
6	-1.727691128	0.6302531786
7	-1.719213239	0.6299618574
8	-1.710844389	0.6302177999
9	-1.702700249	0.6289823107
10	-1.694726092	0.630302377
11	-1.686872582	0.6305091211
12	-1.679100332	0.630344942
13	-1.671472637	0.6305583195
14	-1.663948176	0.630713654
15	-1.656520591	0.6304063018
16	-1.649213378	0.6304123825
17	-1.641995854	0.630474848
18	-1.634968214	0.6311525705
19	-1.627957988	0.6306661139
20	-1.621084854	0.6307628524
21	-1.614247374	0.6312658928
22	-1.607540077	0.63115644
23	-1.600970149	0.6310259812
24	-1.594553068	0.631252073
25	-1.588120232	0.6314604754
26	-1.581793532	0.6321404091
27	-1.57552916	0.6321553344
28	-1.569497651	0.6325008292
29	-1.56343325	0.6326788281
30	-1.55752681	0.6328811498
31	-1.551699834	0.633185738
32	-1.545946241	0.6333322278
33	-1.540288557	0.6333670536
34	-1.534636678	0.6336163626
35	-1.529098121	0.6339872858
36	-1.523525152	0.6338159204
37	-1.51803372	0.6338949696
38	-1.512668049	0.6339220564
39	-1.5073466	0.6339292427
40	-1.502017966	0.6340956329
41	-1.496804035	0.6341514649
42	-1.491601852	0.634527916
43	-1.48657131	0.6342880044
44	-1.481512161	0.6343228303
45	-1.476636125	0.6346655611
46	-1.471688226	0.6347622996
47	-1.46674848	0.6348092869
48	-1.461977059	0.6350066335
49	-1.457209784	0.6350304035
50	-1.45250387	0.6350912106
51	-1.447816335	0.6352504146
52	-1.443325318	0.6351818684
53	-1.438668463	0.635252073
54	-1.434169431	0.6354206744
55	-1.429817579	0.6355185185
56	-1.425446517	0.6354726368
57	-1.421136401	0.6356257601
58	-1.416797955	0.6357103372
59	-1.412579049	0.6357755666
60	-1.408512438	0.63586733
61	-1.404298093	0.6359187396
62	-1.400203427	0.6360348259
63	-1.396139027	0.6360243228
64	-1.392110835	0.6360652294
65	-1.388103096	0.6360602543
66	-1.384144555	0.6360353787
67	-1.380229409	0.6361310116
68	-1.376305141	0.6361254837
69	-1.372484245	0.6361525705
70	-1.368774323	0.6362283029
71	-1.364923991	0.636225539
72	-1.361168601	0.6362542841
73	-1.357552515	0.6363244887
74	-1.353957988	0.6363781095
75	-1.350304035	0.6364107242
76	-1.346746269	0.6364914317
77	-1.343194306	0.6365461581
78	-1.339591902	0.636525152
79	-1.336211719	0.6361100055
80	-1.332828911	0.636196241
81	-1.329440575	0.6362570481
82	-1.326054726	0.6362305141
83	-1.322761747	0.6363963516
84	-1.31937424	0.6364422333
85	-1.316022664	0.6364422333
86	-1.312851714	0.6367938087
87	-1.309676064	0.6365920398
88	-1.306422333	0.636604754
89	-1.303334715	0.6365892758
90	-1.300130873	0.6365743505
91	-1.296991985	0.6365953566
92	-1.29390105	0.6366594804
93	-1.290875622	0.6366849088
94	-1.287817026	0.636694859
95	-1.284754422	0.636724157
96	-1.281851437	0.6367794362
97	-1.278841902	0.6367401879
98	-1.276020591	0.6370740741
99	-1.273210752	0.6371686014
100	-1.27044942	0.6374179104
101	-1.267577114	0.6374472084
102	-1.264700111	0.6374107242
103	-1.261908513	0.6374941957
104	-1.259208126	0.6375295744
105	-1.256446103	0.6375826423
106	-1.253676064	0.6376191266
107	-1.250927308	0.6376384743
108	-1.248261885	0.6376373687
109	-1.245572692	0.6375959093
110	-1.243025152	0.6377667219
111	-1.240521973	0.6378839138
112	-1.237953289	0.6378645661
113	-1.235392758	0.637946932
114	-1.232851575	0.6381415146
115	-1.230312327	0.6381763405
116	-1.227805417	0.638222775
117	-1.225355169	0.6382365948
118	-1.222893449	0.6383079049
119	-1.220477474	0.6383278054
120	-1.218102957	0.6383709232
121	-1.215682698	0.6383941404
122	-1.213252902	0.638392482
123	-1.210914041	0.6384847982
124	-1.208665561	0.6385843007
125	-1.206326147	0.6386235489
126	-1.20403068	0.6386522941
127	-1.201762161	0.6386937535
128	-1.199478994	0.6387440575
129	-1.197249033	0.6387739082
130	-1.194966833	0.6387860697
131	-1.192773355	0.6388114981
132	-1.190563433	0.6388734107
133	-1.188394555	0.6389402985
134	-1.186274046	0.6389613046
135	-1.184175235	0.6390171365
136	-1.182015202	0.6390480929
137	-1.17991487	0.6390834715
138	-1.177837894	0.6391227197
139	-1.175726368	0.6391332228
140	-1.17364649	0.639076838
141	-1.171561774	0.639116639
142	-1.169509121	0.6391481481
143	-1.167472913	0.639172471
144	-1.165445135	0.6391868436
145	-1.163482172	0.6392675511
146	-1.161542565	0.6393681592
147	-1.159658928	0.6393930348
148	-1.157689884	0.6394378109
149	-1.155736111	0.6394466556
150	-1.153788419	0.6395096739
151	-1.151959508	0.6395019348
152	-1.150160379	0.6395063571
153	-1.148283029	0.6395693753
154	-1.146504561	0.6396158098
155	-1.144644831	0.6396467662
156	-1.142798784	0.6396744057
157	-1.141018242	0.6396954118
158	-1.139198798	0.6397037037
159	-1.137391031	0.6397694859
160	-1.135693892	0.6397921504
161	-1.133914594	0.6398015478
162	-1.132147043	0.6398114981
163	-1.130483831	0.6398253179
164	-1.128761609	0.6398391376
165	-1.127145799	0.6398922056
166	-1.125426064	0.639896628
167	-1.12373314	0.6399021559
168	-1.122124793	0.6399651741
169	-1.120502073	0.6399800995
170	-1.118831537	0.6400016584
171	-1.117177446	0.6399845218
172	-1.115546296	0.6399922609
173	-1.113915285	0.6400033167
174	-1.112285448	0.640013267
175	-1.110766584	0.6400154782
176	-1.109185876	0.6400281924
177	-1.107598673	0.6400309563
178	-1.10603607	0.6400315091
179	-1.104484798	0.6400497512
180	-1.102924268	0.6400580431
181	-1.101471808	0.6400773908
182	-1.100077253	0.6401680486
183	-1.098607794	0.6401940299
184	-1.09710199	0.6401956882
185	-1.09561194	0.6402913212
186	-1.094119472	0.6403012714
187	-1.092650359	0.6403178552
188	-1.091195896	0.6403300166
189	-1.089756081	0.6403360973
190	-1.088313018	0.6403521282
191	-1.086895384	0.640365948
192	-1.085476092	0.6403825318
193	-1.084192302	0.6405433941
194	-1.082789525	0.6405632946
195	-1.081456744	0.6406346048
196	-1.080064538	0.6406169154
197	-1.078690437	0.6406080708
198	-1.077337341	0.6406263129
199	-1.076056799	0.6406522941
200	-1.074813709	0.6406694306
201	-1.07354063	0.6407274737
202	-1.072214345	0.6407285793
203	-1.07089801	0.6407672747
204	-1.069592316	0.6407810945
205	-1.068361111	0.6408203427
206	-1.067090796	0.6408319514
207	-1.065802377	0.6408501935
208	-1.064529298	0.6408723051
209	-1.063272664	0.640870094
210	-1.062063018	0.6408927584
211	-1.060813986	0.6409004975
212	-1.059569444	0.6408960752
213	-1.058341349	0.6409060254
214	-1.057182421	0.6409137645
215	-1.055966763	0.6409773355
216	-1.054750276	0.6410011056
217	-1.053550235	0.64102377
218	-1.052360489	0.6410464345
219	-1.051217385	0.6410597015
220	-1.050066059	0.6410613599
221	-1.04888806	0.6411420674
222	-1.047769624	0.6411558872
223	-1.046631841	0.6411680486
224	-1.045492123	0.6411779989
225	-1.044358762	0.6411923715
226	-1.043237562	0.6412531786
227	-1.042220218	0.6412896628
228	-1.04116107	0.6412747374
229	-1.040092938	0.6413272526
230	-1.039011954	0.6413112217
231	-1.037894417	0.6413150912
232	-1.036795329	0.6413150912
233	-1.035786346	0.6413460475
234	-1.034716902	0.6413466003
235	-1.033652087	0.6413466003
236	-1.032595287	0.6413642897
237	-1.031558043	0.641419016
238	-1.030578082	0.6414378109
239	-1.029537175	0.6414593698
240	-1.02848314	0.6414626866
241	-1.027494196	0.641485351
242	-1.026467523	0.641488115
243	-1.025474157	0.6414742952
244	-1.024521213	0.641511885
245	-1.023533858	0.6415290216
246	-1.022580569	0.6416539525
247	-1.021608485	0.6416556108
248	-1.020649185	0.6416644555
249	-1.019774046	0.6416777225
250	-1.018805832	0.6416799337
251	-1.017906371	0.6416970702
252	-1.016966003	0.6417147595
253	-1.016033997	0.6417435047
254	-1.015088792	0.6417733554
255	-1.014155196	0.6417849641
256	-1.013308181	0.6418103925
