iter	Passed	Remaining
0	16	486547
1	28	420973
2	39	399945
3	52	391819
4	64	384332
5	75	377798
6	87	374299
7	100	378079
8	112	375561
9	124	373383
10	136	371667
11	149	372629
12	161	372180
13	173	371986
14	185	371800
15	197	371026
16	210	371619
17	222	370547
18	234	369314
19	245	368202
20	257	367371
21	271	369579
22	283	370080
23	295	369403
24	307	368602
25	319	368111
26	330	367187
27	342	366974
28	354	366669
29	366	365778
30	377	365239
31	389	364982
32	401	364943
33	413	364514
34	425	364278
35	437	363973
36	448	363558
37	460	363185
38	472	362824
39	484	362531
40	496	362951
41	508	362715
42	519	362236
43	533	362963
44	545	362797
45	556	362540
46	568	362096
47	580	362348
48	593	362656
49	604	362280
50	616	362057
51	628	361817
52	640	361647
53	651	361485
54	663	361153
55	675	361296
56	687	361066
57	699	361177
58	712	361561
59	724	361543
60	736	361614
61	748	361566
62	761	361668
63	773	361793
64	785	361894
65	797	361905
66	810	362224
67	822	362037
68	834	361783
69	845	361398
70	857	361584
71	869	361380
72	881	361390
73	893	361415
74	906	361582
75	917	361291
76	929	361318
77	942	361417
78	954	361427
79	965	361279
80	977	360942
81	988	360760
82	1001	360810
83	1013	360954
84	1025	360813
85	1036	360687
86	1049	360703
87	1060	360546
88	1072	360588
89	1084	360449
90	1096	360293
91	1108	360415
92	1119	360124
93	1131	359992
94	1142	359782
95	1154	359637
96	1166	359577
97	1178	359474
98	1189	359273
99	1201	359141
100	1213	359131
101	1225	359210
102	1238	359513
103	1250	359492
104	1262	359477
105	1274	359307
106	1286	359358
107	1297	359234
108	1310	359489
109	1323	359577
110	1335	359542
111	1348	359935
112	1361	360023
113	1372	359928
114	1384	359772
115	1396	359676
116	1407	359530
117	1419	359372
118	1430	359276
119	1442	359119
120	1454	359076
121	1465	358901
122	1477	358959
123	1489	358924
124	1501	358871
125	1512	358707
126	1524	358692
127	1536	358582
128	1548	358483
129	1560	358508
130	1571	358408
131	1583	358336
132	1595	358318
133	1608	358422
134	1621	358661
135	1633	358733
136	1645	358576
137	1656	358441
138	1670	358834
139	1681	358671
140	1693	358685
141	1705	358685
142	1718	358709
143	1730	358739
144	1742	358711
145	1754	358756
146	1765	358616
147	1777	358433
148	1788	358343
149	1800	358233
150	1811	358115
151	1823	358085
152	1835	358157
153	1848	358255
154	1859	358138
155	1871	358010
156	1883	357993
157	1895	357932
158	1906	357822
159	1918	357733
160	1929	357685
161	1942	357687
162	1953	357563
163	1965	357519
164	1977	357512
165	1988	357410
166	2000	357291
167	2011	357254
168	2023	357105
169	2034	357044
170	2046	356949
171	2058	356900
172	2069	356798
173	2081	356721
174	2092	356643
175	2103	356492
176	2116	356565
177	2127	356522
178	2140	356550
179	2151	356464
180	2162	356317
181	2174	356293
182	2185	356109
183	2196	356006
184	2209	356067
185	2220	355946
186	2232	355977
187	2245	356025
188	2256	355960
189	2269	356079
190	2281	356137
191	2293	356110
192	2305	356073
193	2316	355923
194	2328	355866
195	2339	355777
196	2351	355732
197	2362	355634
198	2374	355539
199	2388	355819
200	2399	355733
201	2410	355637
202	2423	355738
203	2435	355784
204	2448	355811
205	2459	355732
206	2472	355790
207	2483	355764
208	2496	355911
209	2509	355953
210	2520	355798
211	2532	355838
212	2544	355850
213	2556	355886
214	2569	355902
215	2580	355834
216	2592	355773
217	2603	355734
218	2616	355776
219	2628	355741
220	2640	355766
221	2653	355989
222	2665	355952
223	2677	355942
224	2689	355944
225	2701	355897
226	2713	355840
227	2725	355860
228	2737	355912
229	2748	355809
230	2760	355791
231	2773	355830
232	2785	355839
233	2796	355703
234	2807	355648
235	2820	355680
236	2831	355578
237	2842	355472
238	2853	355325
239	2864	355234
240	2877	355340
241	2890	355375
242	2902	355429
243	2914	355370
244	2925	355302
245	2937	355235
246	2949	355244
247	2960	355192
248	2973	355234
249	2985	355217
250	2997	355278
251	3009	355233
252	3021	355234
253	3032	355190
254	3044	355161
255	3056	355136
256	3067	354997
257	3080	355062
258	3091	355006
259	3102	354867
260	3113	354816
261	3125	354758
262	3136	354653
263	3149	354737
264	3161	354727
265	3173	354765
266	3185	354700
267	3197	354690
268	3208	354649
269	3220	354594
270	3231	354548
271	3244	354564
272	3256	354652
273	3269	354697
274	3281	354750
275	3293	354702
276	3305	354676
277	3317	354645
278	3328	354556
279	3340	354608
280	3351	354478
281	3363	354461
282	3375	354440
283	3387	354415
284	3398	354371
285	3410	354303
286	3421	354240
287	3433	354244
288	3444	354163
289	3459	354401
290	3471	354386
291	3483	354375
292	3494	354350
293	3506	354331
294	3518	354324
295	3530	354335
296	3541	354198
297	3553	354153
298	3564	354078
299	3576	354028
300	3587	353987
301	3599	353996
302	3612	354040
303	3624	354063
304	3635	353959
305	3648	354009
306	3660	354010
307	3671	353895
308	3684	353996
309	3695	353980
310	3707	353940
311	3719	353905
312	3731	353915
313	3743	353939
314	3756	353986
315	3768	353987
316	3780	354035
317	3792	354017
318	3805	354037
319	3816	353968
320	3828	353990
321	3840	353936
322	3852	353953
323	3863	353911
324	3876	353930
325	3887	353896
326	3899	353878
327	3912	353933
328	3924	353907
329	3936	353903
330	3947	353867
331	3959	353838
332	3971	353781
333	3982	353762
334	3994	353730
335	4006	353721
336	4018	353680
337	4029	353644
338	4041	353596
339	4054	353669
340	4067	353757
341	4078	353720
342	4091	353745
343	4102	353657
344	4113	353567
345	4125	353575
346	4136	353459
347	4148	353488
348	4160	353447
349	4171	353389
350	4182	353301
351	4194	353282
352	4205	353238
353	4216	353153
354	4228	353132
355	4241	353146
356	4253	353157
357	4264	353095
358	4276	353056
359	4287	353023
360	4299	352974
361	4310	352914
362	4321	352867
363	4333	352856
364	4345	352850
365	4357	352816
366	4369	352808
367	4380	352746
368	4392	352733
369	4404	352750
370	4417	352770
371	4429	352790
372	4440	352723
373	4451	352629
374	4464	352677
375	4475	352649
376	4488	352670
377	4499	352642
378	4510	352557
379	4522	352496
380	4533	352461
381	4545	352421
382	4557	352403
383	4569	352402
384	4581	352399
385	4592	352373
386	4604	352347
387	4616	352333
388	4628	352326
389	4640	352287
390	4651	352251
391	4663	352213
392	4675	352202
393	4687	352243
394	4700	352269
395	4711	352214
396	4722	352166
397	4734	352121
398	4746	352100
399	4757	352060
400	4770	352092
401	4782	352131
402	4794	352149
403	4806	352141
404	4819	352169
405	4830	352108
406	4842	352066
407	4853	352042
408	4865	351996
409	4877	352011
410	4889	352038
411	4902	352040
412	4914	352039
413	4925	351990
414	4937	351990
415	4949	351977
416	4961	352001
417	4973	351981
418	4984	351929
419	4996	351899
420	5008	351882
421	5022	351994
422	5033	351986
423	5045	351982
424	5057	351922
425	5068	351867
426	5080	351849
427	5092	351830
428	5103	351809
429	5116	351849
430	5128	351859
431	5140	351812
432	5151	351774
433	5163	351743
434	5174	351714
435	5186	351700
436	5198	351657
437	5209	351612
438	5221	351587
439	5232	351545
440	5244	351516
441	5255	351473
442	5267	351430
443	5279	351428
444	5291	351454
445	5303	351413
446	5314	351376
447	5327	351409
448	5338	351356
449	5349	351291
450	5361	351268
451	5373	351261
452	5385	351240
453	5397	351262
454	5409	351268
455	5420	351220
456	5432	351213
457	5444	351173
458	5455	351138
459	5467	351094
460	5478	351063
461	5490	351066
462	5503	351080
463	5514	351020
464	5525	350965
465	5536	350918
466	5549	350933
467	5561	350952
468	5573	350944
469	5584	350904
470	5596	350864
471	5608	350867
472	5620	350862
473	5631	350798
474	5642	350746
475	5654	350742
476	5667	350787
477	5679	350794
478	5691	350792
479	5703	350759
480	5716	350796
481	5727	350741
482	5738	350704
483	5750	350677
484	5762	350673
485	5774	350646
486	5785	350612
487	5797	350633
488	5809	350596
489	5821	350570
490	5832	350529
491	5844	350538
492	5856	350517
493	5867	350483
494	5879	350477
495	5891	350424
496	5903	350464
497	5915	350433
498	5927	350420
499	5938	350369
500	5949	350332
501	5963	350418
502	5975	350403
503	5986	350369
504	5998	350333
505	6009	350288
506	6021	350282
507	6033	350285
508	6045	350288
509	6057	350243
510	6069	350269
511	6081	350279
512	6094	350303
513	6106	350285
514	6117	350262
515	6128	350207
516	6140	350169
517	6152	350168
518	6164	350154
519	6176	350166
520	6187	350111
521	6199	350086
522	6210	350034
523	6222	350036
524	6234	350038
525	6247	350052
526	6259	350089
527	6271	350055
528	6283	350056
529	6295	350047
530	6306	350013
531	6318	349962
532	6330	349957
533	6341	349938
534	6354	349984
535	6367	350012
536	6379	350000
537	6390	349984
538	6402	349943
539	6413	349915
540	6425	349908
541	6437	349905
542	6450	349908
543	6461	349886
544	6473	349864
545	6485	349878
546	6496	349821
547	6508	349784
548	6519	349753
549	6530	349693
550	6542	349655
551	6553	349622
552	6565	349627
553	6577	349595
554	6588	349565
555	6601	349599
556	6612	349555
557	6624	349543
558	6636	349521
559	6647	349477
560	6659	349440
561	6671	349448
562	6682	349397
563	6695	349431
564	6707	349456
565	6719	349441
566	6731	349435
567	6743	349445
568	6755	349417
569	6767	349393
570	6779	349401
571	6790	349371
572	6802	349368
573	6814	349318
574	6827	349365
575	6838	349336
576	6850	349306
577	6862	349297
578	6873	349246
579	6885	349259
580	6896	349221
581	6907	349166
582	6919	349166
583	6931	349133
584	6943	349116
585	6954	349067
586	6965	349044
587	6977	349027
588	6989	349012
589	7000	348965
590	7012	348951
591	7026	349037
592	7037	349010
593	7051	349074
594	7063	349094
595	7076	349112
596	7088	349140
597	7100	349135
598	7112	349105
599	7124	349080
600	7135	349045
601	7146	349004
602	7158	349003
603	7171	349021
604	7183	349008
605	7194	348963
606	7205	348928
607	7217	348894
608	7228	348865
609	7239	348822
610	7251	348808
611	7263	348809
612	7276	348812
613	7287	348767
614	7299	348792
615	7311	348752
616	7322	348733
617	7334	348704
618	7346	348682
619	7358	348684
620	7369	348656
621	7381	348648
622	7392	348606
623	7404	348564
624	7415	348516
625	7427	348502
626	7438	348480
627	7450	348459
628	7461	348434
629	7475	348490
630	7487	348475
631	7498	348458
632	7510	348441
633	7522	348426
634	7533	348399
635	7546	348408
636	7558	348404
637	7569	348362
638	7580	348324
639	7592	348302
640	7604	348290
641	7616	348302
642	7628	348273
643	7640	348286
644	7652	348287
645	7664	348251
646	7675	348223
647	7686	348189
648	7698	348166
649	7709	348128
650	7721	348111
651	7732	348043
652	7744	348053
653	7755	348017
654	7768	348018
655	7779	347995
656	7790	347953
657	7802	347927
658	7816	348007
659	7827	347989
660	7839	347970
661	7851	347937
662	7863	347937
663	7875	347928
664	7886	347888
665	7898	347873
666	7909	347843
667	7921	347844
668	7933	347824
669	7945	347825
670	7956	347793
671	7969	347826
672	7981	347785
673	7992	347760
674	8004	347739
675	8016	347725
676	8027	347696
677	8039	347701
678	8052	347710
679	8064	347705
680	8078	347795
681	8089	347752
682	8101	347738
683	8112	347714
684	8124	347696
685	8136	347683
686	8148	347680
687	8159	347646
688	8171	347619
689	8183	347629
690	8194	347592
691	8206	347581
692	8219	347585
693	8230	347557
694	8242	347548
695	8254	347543
696	8265	347506
697	8278	347516
698	8290	347519
699	8301	347466
700	8312	347427
701	8323	347392
702	8334	347347
703	8345	347298
704	8356	347249
705	8369	347279
706	8382	347295
707	8394	347308
708	8406	347294
709	8417	347265
710	8429	347259
711	8441	347242
712	8453	347221
713	8465	347215
714	8476	347186
715	8489	347202
716	8500	347176
717	8512	347164
718	8524	347146
719	8536	347140
720	8549	347166
721	8561	347191
722	8573	347171
723	8584	347143
724	8596	347130
725	8608	347109
726	8619	347072
727	8630	347031
728	8642	347028
729	8654	346990
730	8666	346992
731	8678	346986
732	8690	346973
733	8701	346944
734	8712	346913
735	8725	346915
736	8737	346933
737	8748	346874
738	8759	346830
739	8771	346813
740	8784	346869
741	8794	346795
742	8805	346730
743	8817	346739
744	8829	346704
745	8840	346695
746	8852	346655
747	8863	346634
748	8875	346605
749	8886	346564
